ticker	chokepoint_score	chokepoint_tier	score	verdict	price	target	upside	moat	catalyst	risk_level	chips_status	chips_detail	one_liner
AVGO	22	Monopoly Chokepoint	85	BUY	323	430	+33%	Exceptional	AI rev +106% to $40.4B + $162B backlog + Taurus DSP	Low	NONE	No direct or CHIPS-linked award found in latest official sweep	Gorilla of AI networking; Tomahawk monopoly + XPU + optical DSP + SiPh. 68% EBITDA. $1.53T.
IQE.L	18	Duopoly Chokepoint	52	HOLD	N/A	N/A	N/A	Moderate	Strategic review + AI InP/GaAs demand recovery	High	NONE	No direct or CHIPS-linked award found in latest official sweep	UK compound semi epiwafer; potential acquisition target. Barely profitable. Monitor review outcome.
GLW	15	Oligopoly with Moat	72	HOLD	140	120	-14%	Strong	Meta $6B deal + $10.3B scale-out by 2030 + optical +35%	Low	FINAL	Up to $32M final Corning award for HPFS / ULE lithography materials	Fiber infrastructure backbone of AI; $6.3B optical rev, $1B profit. Near ATH, wait for pullback.
5803.T	15	Oligopoly with Moat	68	HOLD	25600	N/A	N/A	Strong	3x US fiber output + AI demand	Low	NONE	No direct or CHIPS-linked award found in latest official sweep	Japanese Corning; +160% in 2025 on AI fiber. Near ATH, well-priced. Strong Buy consensus.
600487.SS	12	Oligopoly with Moat	60	HOLD	N/A	N/A	N/A	Moderate	Fiber + optical packaging + CPO + liquid cooling	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	China #2 fiber + unique optical module packaging angle. Shanghai-listed.
4973.T	20	Duopoly Chokepoint	63	HOLD	5270	N/A	N/A	Strong Niche	Transceiver volume explosion → gold plating demand	Low	NONE	No direct or CHIPS-linked award found in latest official sweep	Hidden monopoly: 50% global gold plating share, 2.1x sales, 4.17% yield. 52 employees. Niche but real.
AEHR	18	Duopoly Chokepoint	48	AVOID	34.52	N/A	N/A	Moderate	SiPh burn-in orders + AI optical I/O	High	NONE	No direct or CHIPS-linked award found in latest official sweep	Niche SiPh wafer burn-in leader but $880M cap on $40M rev, unprofitable, declining margins.
0522.HK	21	Monopoly Chokepoint	66	HOLD	N/A	N/A	N/A	Strong	SiPh die bonding + TCB record + AI packaging	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	AMICRA owns photonic assembly chokepoint; diversified equipment co limits pure-play upside.
002475.SZ	9	Competitive / Linked	60	HOLD	N/A	N/A	N/A	Moderate	Full-stack AI DC + optical 10G-1.6T + OpenAI supplier	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	$43B China manufacturing giant with optical transceiver ambitions; optical too small vs total rev.
HUBN.SW	16	Duopoly Chokepoint	58	HOLD	174	N/A	N/A	Moderate	Polatis OCS leader + OCS market → $2.5B by 2029	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	Swiss co owns leading OCS technology. $2.5B market emerging. Diversified dilution but early-mover.
002281.SZ	13	Oligopoly with Moat	56	HOLD	79.15	N/A	N/A	Moderate	Chinese telecom + DC optical components	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	China #3 optical component co; broad portfolio but lacks NVIDIA/hyperscaler AI relationships.
CLS	15	Oligopoly with Moat	74	HOLD	N/A	N/A	N/A	Strong	FY26 $17B guide + 55% custom switch share + CCS +40%	Low	NONE	No direct or CHIPS-linked award found in latest official sweep	Bigger Fabrinet: AI data center EMS at 0.7x sales. 55% custom Ethernet switch mfg share. Near BUY.
APH	17	Duopoly Chokepoint	78	BUY	N/A	N/A	~30%	Very Strong	Comms +78% + CommScope CCS $4.1B + 33% AI DC share	Low	NONE	No direct or CHIPS-linked award found in latest official sweep	Dominant AI data center connector company. $23.1B rev, 27.5% OPM record. Every rack uses Amphenol.
FORM	18	Duopoly Chokepoint	67	HOLD	N/A	N/A	N/A	Moderate-Strong	Keystone SiPh acquisition + $850M target model	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	SiPh wafer test infrastructure play. Keystone adds optical probing. Path to $850M revenue.
6146.T	23	Monopoly Chokepoint	72	HOLD	45300	N/A	N/A	Exceptional	AI chip volume + SiPh dicing + consumables recurring	Low	NONE	No direct or CHIPS-linked award found in latest official sweep	75% global dicing monopoly. 39% OPM. Every chip (including SiPh) needs Disco. Japanese hidden gem.
AEIS	15	Oligopoly with Moat	65	HOLD	N/A	N/A	N/A	Moderate	DC Computing +107% + semi equipment power	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	Dual AI exposure: powers chip manufacturing + data centers. $1.80B rev, DC +107%. BofA pick.
BESI.AS	22	Monopoly Chokepoint	73	HOLD	N/A	N/A	N/A	Very Strong	Q4 orders +105% + hybrid bonding €476M by 2026	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	42% die-attach share + hybrid bonding pioneer. Equipment chokepoint for CPO/AI packaging. Near BUY.
KLIC	16	Duopoly Chokepoint	62	HOLD	N/A	N/A	N/A	Moderate	SiPh TCB orders + CoWoS qualification	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	#2 advanced packaging behind Besi. SiPh CPO bonding orders but less dominant position.
042700.KS	20	Duopoly Chokepoint	70	HOLD	N/A	N/A	N/A	Strong but Eroding	HBM TC bonder 71% share + CPO packaging entry	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	HBM-to-photonics bridge. 71% TC bonder share but SK Hynix diversifying. CPO expansion is new angle.
3105.TW	20	Duopoly Chokepoint	64	HOLD	N/A	N/A	N/A	Strong	GaAs foundry 50%+ share + AI/optical pivot	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	World's largest GaAs foundry. VCSELs for DC optical. Pivoting from mobile to AI. Taiwan-listed.
VNP.TO	16	Duopoly Chokepoint	61	HOLD	N/A	N/A	N/A	Moderate	Germanium grant + raw metals for photonics	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	Deepest upstream: ultra-high-purity In/Ga/Ge supplier. $391M rev +35%. +322% stock. Solar-focused.
PRY.MI	12	Oligopoly with Moat	60	HOLD	N/A	N/A	N/A	Moderate	Hollow-core fiber + Relativity Networks partnership	Low	NONE	No direct or CHIPS-linked award found in latest official sweep	World's largest cable co. HCF 50% faster than conventional fiber. Long-term AI DC option.
VRT	12	Oligopoly with Moat	72	HOLD	N/A	N/A	N/A	Strong	$15B backlog + NVIDIA cooling partner + orders +252%	Low	NONE	No direct or CHIPS-linked award found in latest official sweep	AI DC cooling/power backbone. Not photonics directly but demand confirmation. +62% YTD 2026.
6777.T	19	Duopoly Chokepoint	55	HOLD	N/A	N/A	N/A	Moderate	CPO tunable laser + MEMS tunable filters for 400G+	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	Japan micro-cap optical component niche. Tunable filters/WSS inside every coherent transceiver.
6869.HK	15	Oligopoly with Moat	58	HOLD	N/A	N/A	N/A	Moderate	HollowBand HCF + AI x Fibre vision	Low	NONE	No direct or CHIPS-linked award found in latest official sweep	China #1, global #2 fiber cable. Hollow-core fiber innovation. Dual-listed HK+Shanghai.
CSCO	13	Oligopoly with Moat	68	HOLD	N/A	N/A	N/A	Strong	$5B AI orders + Acacia coherent + Silicon One G300	Low	NONE	No direct or CHIPS-linked award found in latest official sweep	Sleeping AI optics giant; $1.2B+ AI optics but diluted by $250B enterprise. Acacia ~50% coherent share.
INTC	17	Duopoly Chokepoint	52	HOLD	N/A	N/A	N/A	Moderate	OCI chiplet pioneer + 8M PICs shipped	High	FINAL	Up to $7.865B final award for Arizona, New Mexico, Ohio, and Oregon	SiPh technology pioneer but company in crisis. Best-in-class OCI chiplet at 5pJ/bit. Wait for turnaround.
2317.TW	11	Oligopoly with Moat	62	HOLD	N/A	N/A	N/A	Moderate	Cloud/networking 40% of rev + NVIDIA server assembly	Low	NONE	No direct or CHIPS-linked award found in latest official sweep	World's largest AI server maker. $248B rev at 0.24x sales. Broad AI hardware proxy, not photonics.
2382.TW	11	Oligopoly with Moat	60	HOLD	N/A	N/A	N/A	Moderate	AI servers 70% of server rev + GB200 orders	Low	NONE	No direct or CHIPS-linked award found in latest official sweep	#2 AI server ODM. $60B rev, NVIDIA GB200 orders for MSFT/AMZN/GOOG/META. 0.5x sales.
5016.T	18	Duopoly Chokepoint	66	HOLD	N/A	N/A	N/A	Strong	Newly IPO'd InP substrate + 50% capacity expansion + non-China	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	JX Advanced Metals: Japan's largest IPO since SoftBank. 40yr InP expertise. Non-China AXT alternative.
MXL	14	Oligopoly with Moat	60	HOLD	17.43	21.55	+24%	Moderate	Rushmore 1.6T DSP + Annapurna 224G retimer	High	NONE	No direct or CHIPS-linked award found in latest official sweep	Small-cap optical DSP turnaround. Right products but smallest competitor. Watch OFC 2026 wins.
SMTC	17	Duopoly Chokepoint	70	HOLD	78	N/A	N/A	Moderate-Strong	LPO disruption + FiberEdge TIA + CopperEdge ACC + DC +50%	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	Under-discovered LPO disruptor. Removing DSP from optical modules. Hyperscaler LPO design wins.
VECO	21	Monopoly Chokepoint	63	HOLD	N/A	N/A	N/A	Moderate-Strong	MOCVD duopoly + Lumina+ for photonics + Axcelis merger	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	MOCVD equipment leader; grows every InP/GaAs laser chip. Duopoly with Aixtron. Merging with Axcelis.
AIXA.DE	21	Monopoly Chokepoint	65	HOLD	N/A	N/A	N/A	Very Strong	70-90% MOCVD share + optoelectronics growth for AI	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	Dominant MOCVD duopoly partner. "Most underappreciated AI beneficiary." FY26 flat on SiC headwinds.
XFAB.PA	14	Oligopoly with Moat	56	HOLD	N/A	N/A	N/A	Emerging	InP-on-Silicon heterogeneous integration + SiN photonics	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	European SiPh foundry with InP hetero integration (>120GHz). Early stage, production 2027. Niche.
6857.T	20	Duopoly Chokepoint	71	HOLD	N/A	N/A	N/A	Very Strong	V93000 SiPh + AI chip test + 30-40% growth + multiple raises	Low	NONE	No direct or CHIPS-linked award found in latest official sweep	ASML of testing. ¥1.07T revenue. V93000 extended to SiPh/CPO testing via FormFactor. Near BUY.
TER	19	Duopoly Chokepoint	72	HOLD	N/A	N/A	N/A	Strong	Quantifi Photonics acquisition + AI 70% of rev + compute +90%	Low	NONE	No direct or CHIPS-linked award found in latest official sweep	ATE duopoly #2. Acquired PIC testing leader. AI drives 70% of revenue. $3.19B rev. Near BUY.
3711.TW	16	Duopoly Chokepoint	70	HOLD	N/A	N/A	N/A	Strong	SiPh packaging platform + Lightmatter CPO + $300-400M SiPh rev	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	World #1 OSAT with dedicated SiPh packaging. CPO <5pJ/bit demo. Lightmatter 3D photonics partner.
AMKR	16	Duopoly Chokepoint	64	HOLD	N/A	N/A	N/A	Moderate	2.5D 3x growth + $7B Arizona campus + photonics team	Medium	FINAL	Up to $407M final award for Arizona advanced packaging and test	#2 OSAT. 2.5D packaging nearly tripling in 2026. $7B US advanced packaging investment.
000936.SZ	13	Oligopoly with Moat	54	HOLD	N/A	N/A	N/A	Moderate	Source Photonics ownership + optical transceivers	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	Owns Source Photonics (top-10 global transceiver). $850M cap. Opaque conglomerate structure.
3231.TW	11	Oligopoly with Moat	62	HOLD	N/A	N/A	N/A	Moderate	NVIDIA booked capacity + $69B rev +108% + Blackwell/Rubin	Low	NONE	No direct or CHIPS-linked award found in latest official sweep	Fastest-growing Taiwan ODM +108%. NVIDIA locked entire plant. Broad AI server proxy.
NOK	13	Oligopoly with Moat	60	HOLD	N/A	N/A	N/A	Moderate	€3.4B optical + Infinera InP + 70% TCO reduction	Low	INDIRECT_FINAL	Infinera, acquired by Nokia on 2025-02-28, received up to $93M final CHIPS award	Ciena competitor ~20% optical share. InP + SiPh coherent. Telecom conglomerate dilution.
300548.SZ	13	Oligopoly with Moat	58	HOLD	N/A	N/A	N/A	Moderate	SiPh + PLC + transceiver packaging	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	Mid-tier Chinese optical component co. $2.68B cap, $274M rev. SiPh capability. Below Big 3.
0877.HK	16	Duopoly Chokepoint	56	HOLD	N/A	N/A	N/A	Moderate	Sivers/Enablence CPO ELS partnership	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	Chinese passive optical component layer. Amplifiers, isolators, filters. CPO ELS module partner.
STLTECH.NS	12	Oligopoly with Moat	55	HOLD	N/A	N/A	N/A	Moderate	Optical interconnect +53% + DC fiber 76% CAGR	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	India's leading optical fiber co. $968M cap, $486M rev. Optical interconnect growing at 30% margins.
4991.TW	15	Oligopoly with Moat	57	HOLD	N/A	N/A	N/A	Emerging	200G PD + CW laser ramp for SiPh + CPO	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	Taiwan optical component maker targeting SiPh/CPO. Both TX and RX components. 2026 mass production.
8258.TW	20	Duopoly Chokepoint	62	HOLD	N/A	N/A	N/A	Moderate	InP 200G PIN + EZconn CPO partnership + 53.8% growth	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	Taiwan InP epiwafer specialist. End-to-end CPO via EZconn. Fastest-growing Taiwan semi #3. Under-discovered.
UMC	16	Duopoly Chokepoint	59	HOLD	N/A	N/A	N/A	Emerging	imec iSiPP300 SiPh license + risk production 2026-27	Low	NONE	No direct or CHIPS-linked award found in latest official sweep	Taiwan #2 foundry entering SiPh. 3rd major foundry option vs Tower/GF. Long-term diversification play.
300394.SZ	16	Duopoly Chokepoint	64	HOLD	325	N/A	N/A	Moderate	Leading Chinese OSA/packaging for transceivers	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	Chinese Fabrinet: $35B cap, $662M rev. Optical sub-assembly bridge between components and modules.
000988.SZ	12	Oligopoly with Moat	58	HOLD	45.15	N/A	N/A	Moderate	400G-1.6T transceivers + laser equipment + SiPh	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	China's first laser IPO. CNY 9B rev +23%. Optical comms division testing 1.6T with leading clients.
JEN.DE	12	Oligopoly with Moat	50	AVOID	23.40	N/A	N/A	Moderate	Semi equipment photonics + industrial optical	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	German photonics co with €1.05B rev (-6%). Weak semi cycle. Not directly AI DC-focused.
STM	15	Oligopoly with Moat	62	HOLD	N/A	N/A	N/A	Emerging	PIC100 SiPh in HV production + 4x capacity by 2027	Low	NONE	No direct or CHIPS-linked award found in latest official sweep	5th SiPh foundry entrant. PIC100 for 800G/1.6T. Quadrupling capacity. Diversified $13B semi co.
AMAT	18	Duopoly Chokepoint	65	HOLD	N/A	N/A	N/A	Strong	GF Singapore photonics fab + deposition tools in every SiPh fab	Low	R&D_FINAL	$100M final NAPMP award for silicon-core substrate packaging R&D	#1 semi equipment co. Deposition essential for all SiPh manufacturing. Photonics is tiny fraction.
LRCX	18	Duopoly Chokepoint	63	HOLD	N/A	N/A	N/A	Strong	Etch tools for SiPh waveguide patterning	Low	NONE	No direct or CHIPS-linked award found in latest official sweep	#2 semi equipment. Etch tools define optical structures in every SiPh chip. Photonics tiny fraction.
ASML	25	Monopoly Chokepoint	68	HOLD	N/A	N/A	N/A	Exceptional	DUV lithography monopoly for SiPh + every new fab needs ASML	Low	NONE	No direct or CHIPS-linked award found in latest official sweep	Lithography monopoly. Every SiPh foundry expansion needs ASML DUV tools. $320B+ market cap context.
